股票代码,文件,数据条数,开始日期,结束日期,策略_总收益率,策略_年化收益率,策略_最大回撤,策略_夏普比率,策略_交易次数,策略_胜率,策略_盈亏比,持有_总收益率,持有_年化收益率,持有_最大回撤,持有_夏普比率,超额收益,胜率优势,回撤改善,夏普提升
002714,df_pre_002714.csv,2425,2026-03-06,2016-03-11,3.5625882892544976,0.170856322235307,0.6419767803639786,0.584353863759552,18,0.2777777777777778,1.7292651024215462,8.272334355295298,0.26039855479359497,0.6373176028337404,0.7248853630016004,-4.7097460660408,-0.2222222222222222,-0.0046591775302382565,-0.14053149924204844
002466,df_pre_002466.csv,2425,2026-03-06,2016-03-11,2.0118265597277785,0.1213955402273521,0.7013243317308622,0.4348144811817148,14,0.42857142857142855,2.348494816242589,1.4848648359708174,0.09920548242903271,0.8172654948964957,0.4058952595171404,0.526961723756961,-0.07142857142857145,0.11594116316563352,0.02891922166457439
002202,df_pre_002202.csv,2425,2026-03-06,2016-03-11,1.7909258208304708,0.11255389827834894,0.5146243249713701,0.4317104062935556,15,0.26666666666666666,0.8828288906221785,2.2959761431249865,0.13195098534529248,0.6733728455370052,0.4577831998217375,-0.5050503222945157,-0.23333333333333334,0.15874852056563504,-0.02607279352818187
601225,df_pre_601225.csv,2425,2026-03-06,2016-03-11,1.461993216348426,0.09814973605269617,0.46348953649676283,0.39947647870024106,16,0.375,1.8945907857980893,8.56909281970176,0.264531531926804,0.331202556931682,0.7830472621537259,-7.107099603353334,-0.125,-0.13228697956508084,-0.38357078345348483
600900,df_pre_600900.csv,2425,2026-03-06,2016-03-11,0.866441865336715,0.0669968883263985,0.1886481145289236,0.39066892126229963,16,0.5,3.343202882043296,2.2334638200000985,0.12970080477382573,0.175402393726785,0.6865263417711824,-1.3670219546633835,0.0,-0.013245720802138594,-0.2958574205088828
601985,df_pre_601985.csv,2425,2026-03-06,2016-03-11,0.8949960530048928,0.06868169026387583,0.31120837335031604,0.33429795817958186,12,0.5,2.749806279405284,0.5359403937957394,0.0456047862926372,0.4722504795582798,0.22229547996483118,0.3590556592091534,0.0,0.16104210620796378,0.11200247821475068
600795,df_pre_600795.csv,2425,2026-03-06,2016-03-11,0.8124317060667838,0.06374593080910729,0.42604283646697194,0.3066903088082888,14,0.35714285714285715,3.233982054888745,1.181552350997344,0.08443540230914448,0.5091010656845892,0.36625738759908,-0.3691206449305602,-0.14285714285714285,0.0830582292176173,-0.059567078790791206
600309,df_pre_600309.csv,2425,2026-03-06,2016-03-11,0.7152227357042917,0.05766956911072185,0.6747651260528851,0.269107585452605,15,0.26666666666666666,1.1185811630909173,9.476936039206723,0.27649824895628483,0.5961157897147902,0.8134807549612203,-8.761713303502432,-0.23333333333333334,-0.0786493363380949,-0.5443731695086154
601088,df_pre_601088.csv,2425,2026-03-06,2016-03-11,0.6115687653884059,0.05084046233442452,0.402100216271452,0.24381331895002337,15,0.2,1.4449608062700647,5.845881671368638,0.22128143402251643,0.43523144404059033,0.7697131229253286,-5.234312905980232,-0.3,0.03313122776913835,-0.5258998039753052
600352,df_pre_600352.csv,2425,2026-03-06,2016-03-11,0.46223479834299885,0.04027502085111312,0.6730197662368889,0.2018938885301266,18,0.2222222222222222,0.8618416724138809,1.0311949692347824,0.07641759008574223,0.6723307420997262,0.3273419657460976,-0.5689601708917835,-0.2777777777777778,-0.0006890241371626527,-0.12544807721597098
000876,df_pre_000876.csv,2425,2026-03-06,2016-03-11,0.34686766230603006,0.03142849722810781,0.604023805653461,0.1732034234370873,22,0.22727272727272727,1.1746113881139313,0.36364053897315785,0.03275589045820104,0.8061076102762966,0.20656566305121005,-0.01677287666712779,-0.2727272727272727,0.2020838046228356,-0.03336223961412274
000895,df_pre_000895.csv,2425,2026-03-06,2016-03-11,0.3749777101601921,0.0336448438801118,0.4769900491091922,0.16818288085028624,20,0.25,1.3778682200069674,1.437474827567275,0.09700816973041015,0.6105051812474267,0.39534968628661676,-1.062497117407083,-0.25,0.13351513213823452,-0.22716680543633053
