股票代码,文件,数据条数,开始日期,结束日期,策略_总收益率,策略_年化收益率,策略_最大回撤,策略_夏普比率,策略_交易次数,策略_胜率,策略_盈亏比,持有_总收益率,持有_年化收益率,持有_最大回撤,持有_夏普比率,超额收益,胜率优势,回撤改善,夏普提升
601888,df_pre_601888_价格异常4_最大异常涨跌幅14.79%.csv,2425,2026-03-06,2016-03-11,5.548965813769964,0.21566706253366696,0.48547106199712664,0.7187771539146456,13,0.38461538461538464,2.2624617061849195,3.111057478140072,0.1582452657676623,0.8555323816647044,0.5113656987679465,2.437908335629892,-0.11538461538461536,0.3700613196675777,0.20741145514669912
600111,df_pre_600111_价格异常41_最大异常涨跌幅11.01%.csv,2425,2026-03-06,2016-03-11,4.3771254389,0.19101427257961423,0.5502507057114278,0.60618144673184,14,0.21428571428571427,1.8296717090661516,3.931880108991826,0.1803645163432992,0.7394261071487809,0.5441571296918168,0.44524532990817445,-0.2857142857142857,0.18917540143735312,0.0620243170400232
002714,df_pre_002714_停牌9_价格异常4_最大异常涨跌幅12.37%.csv,2425,2026-03-06,2016-03-11,3.5625882892544976,0.170856322235307,0.6419767803639786,0.584353863759552,18,0.2777777777777778,1.7292651024215462,8.272334355295298,0.26039855479359497,0.6373176028337404,0.7248853630016004,-4.7097460660408,-0.2222222222222222,-0.0046591775302382565,-0.14053149924204844
601288,df_pre_601288.csv,2425,2026-03-06,2016-03-11,1.4666921690626928,0.09836735339029778,0.42069435726928095,0.5700849893484381,17,0.23529411764705882,5.302187765641439,2.6622026074893492,0.1444128141214418,0.2684116027114307,0.7702728792526169,-1.1955104384266564,-0.2647058823529412,-0.15228275455785023,-0.2001878899041788
002568,df_pre_002568_价格异常4_最大异常涨跌幅15.37%.csv,2425,2026-03-06,2016-03-11,3.3264379387683807,0.16440779837839758,0.4415085692014057,0.5641023194927017,17,0.29411764705882354,1.7703923369183014,0.8271455997514074,0.06464009691366335,0.7784359890490948,0.32209327558714285,2.4992923390169732,-0.20588235294117646,0.33692741984768915,0.24200904390555888
300015,df_pre_300015_停牌11.csv,2425,2026-03-06,2016-03-11,2.6759534224694965,0.14485860182315924,0.5489435699568326,0.5581683279287465,12,0.4166666666666667,2.21262013890911,2.306460513381885,0.1323246280907442,0.7794901885433518,0.45987331783687885,0.36949290908761157,-0.08333333333333331,0.23054661858651926,0.09829501009186764
600118,df_pre_600118_价格异常30_最大异常涨跌幅10.25%.csv,2425,2026-03-06,2016-03-11,2.9639565865,0.153867853788483,0.4479371060413039,0.5509291233941955,18,0.3333333333333333,1.2370769015400382,2.1439623276152036,0.12641030150138377,0.633259423503326,0.44619844526394187,0.8199942588847966,-0.16666666666666669,0.1853223174620221,0.10473067813025366
000157,df_pre_000157_价格异常2_最大异常涨跌幅13.96%.csv,2425,2026-03-06,2016-03-11,2.18677699475777,0.12799470367130183,0.38867073275814,0.5390853803989706,13,0.46153846153846156,3.6128402021677974,2.447823969607568,0.13726154731403906,0.6292546768932199,0.5082177516556583,-0.2610469748497981,-0.038461538461538436,0.24058394413507989,0.03086762874331228
600089,df_pre_600089_停牌6_价格异常32_最大异常涨跌幅17.54%.csv,2425,2026-03-06,2016-03-11,3.0618303342000006,0.1567962207650131,0.5161977852834543,0.525725012619532,16,0.3125,1.6600500386216164,7.393229166666666,0.2474191993435444,0.6384615384615384,0.6737645147707607,-4.3313988324666655,-0.1875,0.12226375317808413,-0.14803950215122874
601336,df_pre_601336.csv,2425,2026-03-06,2016-03-11,2.1563673480546037,0.12687134196216676,0.39958127523721265,0.5032824249413205,10,0.5,3.976566698164144,1.6582518610283663,0.10693719039539373,0.6335001901365195,0.4066898571453223,0.4981154870262374,0.0,0.23391891489930683,0.09659256779599817
000338,df_pre_000338_停牌1_价格异常3_最大异常涨跌幅12.16%.csv,2425,2026-03-06,2016-03-11,2.171703356290901,0.1274390752605825,0.43868977843844503,0.4974193426989778,18,0.4444444444444444,1.8737616761863187,9.170928668633383,0.2725721718157077,0.6259403750032873,0.8140756252868195,-6.999225312342482,-0.05555555555555558,0.18725059656484222,-0.31665628258784173
600036,df_pre_600036_价格异常21_最大异常涨跌幅28.72%.csv,2425,2026-03-06,2016-03-11,2.3271648302999997,0.13305938214433022,0.5133128749892553,0.49455313287942054,17,0.29411764705882354,1.9016371468083326,20.18918918918919,0.3734299729675816,0.5897959183673469,0.8814356462689041,-17.86202435888919,-0.20588235294117646,0.07648304337809164,-0.3868825133894836
002594,df_pre_002594_价格异常4_最大异常涨跌幅11.30%.csv,2425,2026-03-06,2016-03-11,2.4182348620641565,0.1362433974527677,0.49244417610542524,0.4929647168927815,17,0.47058823529411764,3.0100518392862354,4.74847061484916,0.19930818414268892,0.5253686264855647,0.6031434890514643,-2.3302357527850037,-0.02941176470588236,0.03292445038013947,-0.11017877215868283
000039,df_pre_000039_停牌4_价格异常2_最大异常涨跌幅12.08%.csv,2425,2026-03-06,2016-03-11,1.959437470764478,0.1193525446498247,0.3981565806032923,0.479970433993383,17,0.35294117647058826,2.0749903516553236,1.0741106352901815,0.0787588932508494,0.6171462922499593,0.3335363879823726,0.8853268354742965,-0.14705882352941174,0.21898971164666703,0.1464340460110104
600875,df_pre_600875_停牌74_价格异常4_最大异常涨跌幅13.62%.csv,2425,2026-03-06,2016-03-11,2.2512958781633743,0.13034663002238567,0.5657656341720072,0.4753214522305522,20,0.35,1.1083142526329945,3.8966685990236476,0.17948595846652626,0.5008920606601248,0.5666712689953418,-1.6453727208602733,-0.15000000000000002,-0.06487357351188239,-0.0913498167647896
601398,df_pre_601398.csv,2425,2026-03-06,2016-03-11,1.1218306352383558,0.08131186690314607,0.4140372652507641,0.4718937111406073,15,0.4,3.661685058930678,1.7640765926479092,0.11143684812375954,0.34451612903225803,0.5878463551708991,-0.6422459574095534,-0.09999999999999998,-0.06952113621850609,-0.11595264403029182
002131,df_pre_002131_停牌14_价格异常22_最大异常涨跌幅15.12%.csv,2425,2026-03-06,2016-03-11,2.255666596362451,0.13050444031370056,0.6443044607720134,0.46364478622065697,15,0.2,1.3831635264634934,1.1840155254030984,0.08456257750324525,0.7823706740504692,0.3612387415932745,1.0716510709593527,-0.3,0.1380662132784558,0.10240604462738245
600031,df_pre_600031_价格异常14_最大异常涨跌幅13.50%.csv,2425,2026-03-06,2016-03-11,2.0864478454000004,0.12425120645908239,0.5914018267107553,0.4619168608443185,15,0.3333333333333333,1.837708212757161,8.578260869565218,0.26465737760527075,0.7423085315295658,0.7146375940168852,-6.491813024165218,-0.16666666666666669,0.15090670481881052,-0.2527207331725667
002475,df_pre_002475_价格异常6_最大异常涨跌幅12.79%.csv,2425,2026-03-06,2016-03-11,2.0253326264361413,0.12191706575894323,0.6964144237277421,0.45161001794856415,21,0.3333333333333333,1.5674931076960543,7.439329889373051,0.24812945303572542,0.5927467872214985,0.6801089177510251,-5.41399726293691,-0.16666666666666669,-0.10366763650624355,-0.22849889980246096
