参数组合,总收益率(%),年化收益率(%),最大回撤(%),夏普比率,胜率(%),盈亏比,交易次数,超额收益(%),回撤改善(%)
"RSI(9,20,80)",0.5733728168831622,0.047032499995417254,-0.4957004094219435,0.18386331808055,0.5757575757575758,1.4904828166833506,34,0.4868210303161893,0.055015336975889895
"RSI(14,30,70)",1.630681449757939,0.1030570683310421,-0.4933627798270242,0.3961623938619965,0.657142857142857,2.025653009268746,36,1.544129663190966,0.057352966570809155
"RSI(21,40,60)",0.3223838266405443,0.028742157646219457,-0.5073605494465621,0.11185922883233598,0.6176470588235294,1.3385553219347692,35,0.2358320400735714,0.043355196951271324
"RSI(14,25,75)",2.6066561900428415,0.13892330437810396,-0.4586977792416133,0.5203909916064878,0.7777777777777779,2.8479696440298694,28,2.5201044034758686,0.09201796715622003
"RSI(21,35,65)",1.4759048348395374,0.09629514439565412,-0.456662749868523,0.36675833493882365,0.6923076923076923,2.0237223582345947,27,1.3893530482725642,0.09405299652931035
买入持有,0.08655178656697293,0.008453264642375391,-0.5507157463978334,0.09359291001777618,1.0,-,1,0.0,0.0
