日期,股票代码,开盘,最高,最低,收盘,成交量,成交额
2016-03-11,601166,9.06616134,9.19939818,9.03588024,9.18728574,58160991,876312144.0
2016-03-14,601166,9.16911708,9.35080368,9.0540489,9.07827378,86003066,1305507728.0
2016-03-15,601166,9.09038622,9.3265788,9.04193646,9.30841014,96761415,1472275680.0
2016-03-16,601166,9.24179172,9.5688276,9.22362306,9.52037784,195272705,3058604000.0
2016-03-17,601166,9.49615296,9.5991087,9.22967928,9.34474746,134685320,2088278560.0
2016-03-18,601166,9.34474746,9.42347832,9.31446636,9.33263502,135520222,2095826288.0
2016-03-21,601166,9.36291612,9.52643406,9.36291612,9.40530966,100841467,1569021568.0
2016-03-22,601166,9.387141,9.49615296,9.36897234,9.387141,56367036,876701760.0
2016-03-23,601166,9.4174221,9.44164698,9.36291612,9.38108478,49898052,773555584.0
2016-03-24,601166,9.37502856,9.387141,9.27812904,9.31446636,47265726,729071728.0
2016-03-25,601166,9.32052258,9.39925344,9.30841014,9.36897234,30636961,474089840.0
2016-03-28,601166,9.36897234,9.47192808,9.27207282,9.29024148,34589714,535292496.0
2016-03-29,601166,9.30841014,9.39925344,9.24784794,9.2660166,37490752,576609264.0
2016-03-30,601166,9.3265788,9.44164698,9.2962977,9.42953454,46667313,723902736.0
2016-03-31,601166,9.4477032,9.45981564,9.37502856,9.40530966,38865543,603764400.0
2016-04-01,601166,9.42953454,9.4779843,9.31446636,9.45375942,61113914,948750144.0
2016-04-05,601166,9.387141,9.51432162,9.33263502,9.48404052,60838507,947800160.0
2016-04-06,601166,9.43559076,9.4779843,9.38108478,9.4174221,44166856,686632704.0
2016-04-07,601166,9.43559076,9.44164698,9.34474746,9.35080368,39350503,609399456.0
2016-04-08,601166,9.31446636,9.36897234,9.27812904,9.3265788,48839727,752086544.0
2016-04-11,601166,9.387141,9.49009674,9.34474746,9.45375942,58181284,908365392.0
2016-04-12,601166,9.45375942,9.49615296,9.42347832,9.4477032,30275359,472600592.0
2016-04-13,601166,9.4779843,9.67178334,9.40530966,9.48404052,107865898,1701402992.0
2016-04-14,601166,9.51432162,9.55065894,9.46587186,9.49009674,33014999,517793088.0
2016-04-15,601166,9.5082654,9.6596709,9.49009674,9.59305248,76461425,1209255888.0
2016-04-18,601166,9.5385465,9.70206444,9.51432162,9.61122114,98490706,1568092816.0
2016-04-19,601166,9.6293898,9.64150224,9.56277138,9.61122114,48571620,770457168.0
2016-04-20,601166,9.6293898,9.64755846,9.37502856,9.61727736,109680391,1726539696.0
2016-04-21,601166,9.59305248,9.82318884,9.51432162,9.7202331,133822232,2146168352.0
2016-04-22,601166,9.67783956,9.85346994,9.6596709,9.76868286,51473020,831782528.0
2016-04-25,601166,9.70206444,9.82318884,9.6293898,9.7505142,74795887,1205132576.0
2016-04-26,601166,9.72628932,9.8413575,9.72628932,9.78685152,29499874,476024304.0
2016-04-27,601166,9.79896396,9.8110764,9.76262664,9.7807953,29501079,476729936.0
2016-04-28,601166,9.8110764,9.87769482,9.77473908,9.79896396,49501946,803610528.0
2016-04-29,601166,9.7807953,9.81713262,9.75657042,9.76262664,44797020,724671088.0
2016-05-03,601166,9.76262664,9.85952616,9.70206444,9.7807953,69065301,1116096304.0
2016-05-04,601166,9.7807953,9.81713262,9.73840176,9.79290774,43690372,705747440.0
2016-05-05,601166,9.77473908,9.81713262,9.73840176,9.79290774,32118766,519157584.0
2016-05-06,601166,9.78685152,9.8110764,9.69600822,9.70206444,56523370,912159744.0
2016-05-09,601166,9.69600822,9.71417688,9.55671516,9.57488382,68260834,1089569008.0
2016-05-10,601166,9.52643406,9.61122114,9.42347832,9.49009674,71213206,1121703104.0
2016-05-11,601166,9.52643406,9.59305248,9.50220918,9.52643406,33695887,530937424.0
2016-05-12,601166,9.52643406,9.66572712,9.49615296,9.63544602,39884443,631572704.0
