股票代码,策略总收益率(%),策略年化收益率(%),策略最大回撤(%),策略夏普比率,策略胜率(%),策略盈亏比,策略交易次数,买入持有收益率(%),买入持有最大回撤(%),买入持有夏普比率,超额收益(%),回撤改善(%)
000001,0.01934779290699873,0.0019387316983172642,-0.633535508807399,-0.0019874145390085004,0.6551724137931035,0.010358262006731149,30,0.9907918968692451,-0.6742259049280418,0.2858124415918602,-0.9714441039622463,0.040690396120642805
000002,-0.014088551019223572,-0.001480045748121106,-0.6801165673534086,0.037965528627194337,0.7307692307692306,0.010934833084700963,27,-0.724544447083747,-0.8513460775808257,-0.25319272340436993,0.7104558960645234,0.17122951022741703
000008,-0.22112732398950496,-0.025567383188435655,-0.635468665328502,-0.09619897620261378,0.5161290322580645,0.007567237217211662,31,-0.6748591150396845,-0.848657363507707,-0.2441811591030969,0.4537317910501795,0.213188698179205
000009,0.1117484133138249,0.01076008027259312,-0.5849016801523917,0.09878683046965037,0.5517241379310345,0.011498341594290886,30,0.3169234782601946,-0.749141240813367,0.21023231564370465,-0.20517506494636975,0.16423956066097517
000027,1.3105035731035128,0.0882924587075651,-0.35623750872244414,0.37379491093254485,0.7,0.028106684656422753,30,0.561951573699681,-0.538494131093509,0.19917229556963195,0.7485519994038319,0.18225662237106482
000039,1.8602527792565418,0.11221089910420412,-0.3729551433732361,0.4737161914418667,0.6774193548387096,0.02027055373617245,31,1.0741106352901815,-0.6171462922499593,0.29650531473057856,0.7861421439663602,0.24419114887672322
000060,-0.248713268553308,-0.028478230539057847,-0.5791981950271625,-0.20416764355412687,0.5769230769230769,0.006558874927997667,26,0.22503587813687065,-0.6152919814887058,0.14179922277720208,-0.4737491466901787,0.03609378646154326
000061,-0.16182671617548336,-0.018220546673599625,-0.6461237444764243,-0.06512849859930538,0.5714285714285714,0.008245834603011717,29,-0.14868252857263364,-0.7102398731779996,0.0315051590707368,-0.013144187602849727,0.0641161287015754
000063,1.6301642370842186,0.10546389570947268,-0.6175611195871645,0.37464448893284036,0.7272727272727273,0.016896333133330332,34,1.7370534233514199,-0.6986301369863014,0.38086289476223717,-0.10688918626720124,0.08106901739913688
000069,-0.23408095159815667,-0.026583086626202346,-0.6656326528032567,-0.09226511701185533,0.5384615384615384,0.008437306436819633,26,-0.5317475182618467,-0.8196286534558196,-0.14733988553048308,0.29766656666369007,0.15399600065256294
000100,0.5978279215727214,0.052046276929076374,-0.5621687641964096,0.19042504466226792,0.6428571428571429,0.014015875600245104,29,0.7145873642520624,-0.630147673589892,0.24576088112369762,-0.11675944267934106,0.06797890939348235
000156,-0.4236110994468799,-0.057001481298492356,-0.7188249701999746,-0.2676684747541098,0.5357142857142857,0.0051241219970211815,28,-0.42637469619730617,-0.6944121842217412,-0.0942202578599879,0.0027635967504262737,-0.024412785978233417
000157,0.6347130075426841,0.0509067817170572,-0.613167099483062,0.19787853100108266,0.59375,0.01424937311496156,32,2.447823969607568,-0.6292546768932199,0.4659724034234187,-1.813110962064884,0.01608757741015786
000166,0.125255831461224,0.012114674468094,-0.48930993166180387,-0.014111739187878145,0.6363636363636364,0.012792136162183292,34,-0.013893841333152523,-0.43421496667181797,0.005378838944870344,0.1391496727943765,-0.05509496498998587
000333,1.2282378924171322,0.08601201096027289,-0.2522335092717457,0.3819829182471217,0.6428571428571429,0.04056690357559381,28,4.549313102079077,-0.6052309155425083,0.6256395751748376,-3.3210752096619456,0.3529974062707626
000338,2.166503123447591,0.12355650303311606,-0.4694225900431863,0.5034716386628008,0.7666666666666667,0.021518681920964212,30,9.170928668633385,-0.6259403750032871,0.7715559020976981,-7.004425545185794,0.15651778496010088
000402,-0.23098290415357237,-0.026186013834548105,-0.5914662206129386,-0.13946881990564988,0.6,0.008631404924916408,31,-0.6079565790334582,-0.8236577204190767,-0.20464149756285518,0.37697367487988587,0.23219149980613815
000413,-0.9070779080128077,-0.25842744846289345,-0.9162740427534015,-0.8185795382041856,0.5,0.0041785902883172054,21,-0.9478466399154698,-0.977387909594428,-0.734022822611082,0.04076873190266198,0.061113866841026404
000415,0.4356856355099201,0.04217147113929087,-0.4338040675202562,0.1423709864802465,0.6428571428571429,0.013018683405456033,28,-0.24619228390456604,-0.7695479967298483,-0.0044041468017240485,0.6818779194144861,0.3357439292095921
000423,0.5269789972629977,0.04369313049360968,-0.36153006581802827,0.166690893023722,0.6,0.019237268636502512,25,0.46165448278914867,-0.634605894840902,0.1856584106430653,0.065324514473849,0.2730758290228737
000425,1.259357069414893,0.08691675332862549,-0.44238485250252707,0.3719133835415702,0.75,0.019579301703979535,32,3.620379784691805,-0.4345108089378072,0.5446254664487559,-2.3610227152769125,-0.007874043564719884
000503,-0.13679731725999966,-0.015806943308604104,-0.682006979341,0.029077353343422603,0.48,0.009551303123389518,26,-0.5462532299741603,-0.8988439306358381,0.024313492350424386,0.40945591271416065,0.21683695129483824
000538,0.5244503732299473,0.046642137889846724,-0.4296453004228169,0.16025356335662627,0.6666666666666665,0.014337596139827507,33,0.8034853163459931,-0.5650801580361468,0.24354903975002926,-0.2790349431160459,0.13543485761332988
000540,-0.6750264488475576,-0.1797262324264315,-0.8492049414954753,-0.4843774891031614,0.4375,0.013233293830505897,17,-0.9037320288606082,-0.9276972116845428,-0.7810993353852862,0.22870558001305072,0.07849227018906746
000555,-0.3550519076175338,-0.04655384905924809,-0.8008055477795256,-0.08689092612884236,0.5862068965517241,0.0064302677889081505,29,-0.25444189274165574,-0.8054792614834948,0.08816899147421986,-0.10061001487587809,0.0046737137039691845
000559,1.5036963647138015,0.0977911167958123,-0.5498347693832268,0.37878921627632056,0.59375,0.02398024403547833,33,0.9425340847492394,-0.669823344351735,0.28220764483615857,0.561162279964562,0.11998857496850818
000568,-0.18451455720000998,-0.020539075179420663,-0.5785966857682523,-0.0886858572733925,0.52,0.008388907698538258,25,5.085099627952025,-0.651463999565356,0.5839721437827777,-5.269614185152035,0.07286731379710361
000623,0.4059164200608709,0.03501938992960629,-0.30218750078886486,0.11180352278579686,0.5,0.01698479292268533,33,0.26049961992938475,-0.5044739928633506,0.10320431931678321,0.14541680013148617,0.20228649207448568
000625,0.18234167973437862,0.017159133944525617,-0.508917958380048,0.08224344028081461,0.5714285714285714,0.012524456380840989,29,0.7471282050263275,-0.6265767251820028,0.2718407811751322,-0.5647865252919488,0.11765876680195475
000627,-0.30905138456163483,-0.03964558796753925,-0.7316595936092614,-0.04779789529505278,0.48275862068965514,0.009781392338069107,30,-0.777285057774018,-0.864130335972171,-0.29388030609838234,0.46823367321238324,0.1324707423629097
000630,0.225580031215896,0.02084190553205212,-0.42062518325008547,0.052024497492539644,0.5862068965517241,0.012709672691864168,29,2.0880891187298083,-0.5144788731629963,0.41393474734903746,-1.8625090875139125,0.09385368991291088
000651,0.7052181607710792,0.058812583914431116,-0.38662214746051765,0.22121890991696416,0.6296296296296297,0.01639534410865691,28,2.4061031485152315,-0.5274138909456667,0.47044091097775864,-1.7008849877441523,0.14079174348514903
000671,-0.7822235974905218,-0.19216714030903148,-0.8846585204939573,-0.5830716181348564,0.5454545454545454,0.010824191275730649,23,-0.9307535046165983,-0.9594733209306434,-0.730742053441248,0.1485299071260765,0.07481480043668612
000686,-0.14146755866049188,-0.015323549951173132,-0.607998490086822,-0.12689923863911146,0.7307692307692306,0.009086916900451169,27,-0.11454423683560089,-0.6364329808303435,0.02972094984196712,-0.02692332182489098,0.028434490743521508
000709,-0.21317614289643427,-0.023931248530535187,-0.6346066679861407,-0.17916869758447207,0.6153846153846154,0.007849591230401621,26,0.079650594937694,-0.6691860883759216,0.06656450980828792,-0.29282673783412827,0.034579420389780895
000712,0.15397096447986347,0.014604044586250975,-0.7153941366225672,0.12528990720146113,0.59375,0.011083144445608371,32,-0.28770700893348133,-0.7138899874484271,0.08104457656790565,0.44167797341334475,-0.0015041491741401103
000718,-0.5505423592075819,-0.08048599062714545,-0.7000315293045967,-0.29835574221981365,0.4642857142857143,0.006818523355456015,29,-0.7533897826356237,-0.8469181349585122,-0.27214389887254425,0.2028474234280418,0.1468866056539156
000725,1.3204983256421214,0.08876716219074776,-0.5199178930319657,0.3526066943747833,0.76,0.016089601786344342,25,1.063672562694089,-0.6104975573187091,0.295285220028269,0.25682576294803255,0.09057966428674348
000728,-0.1925383382578706,-0.021586032297964408,-0.6600194767844169,-0.13451628595311968,0.5806451612903226,0.0074902571673964745,32,0.07459869536437536,-0.6612904630679647,0.0961203958468197,-0.26713703362224595,0.0012709862835478703
000738,-0.11706249524204526,-0.012499659198064506,-0.5718236932153461,-0.05042236525274101,0.6,0.008948821075352753,25,-0.014368829112190507,-0.6315003397252908,0.10941533087466712,-0.10269366612985475,0.05967664650994479
000750,1.3965393785468416,0.09373318414363328,-0.582021774835717,0.35336156019353665,0.6428571428571429,0.027477485953483125,29,-0.13521593611784988,-0.6452417353861465,0.035923665377056144,1.5317553146646916,0.06321996055042944
000768,0.7815623616796081,0.06008004805786338,-0.5025309943277491,0.2384931426206359,0.6060606060606061,0.014359310136745986,33,0.8499647314777434,-0.537848206607224,0.27259262175785454,-0.06840236979813526,0.03531721227947493
000776,0.8173433586187955,0.062211892922070744,-0.3446229917684784,0.25204483216153445,0.6764705882352942,0.018007183294287882,34,0.9070005053579844,-0.5340002915065873,0.26765335409576,-0.08965714673918895,0.18937729973810896
000778,1.2769601690115673,0.08668569730226781,-0.42675874065817515,0.36807370661133093,0.6666666666666665,0.02276341048937176,33,0.28234770457370706,-0.5762043017033992,0.12738748942653166,0.9946124644378602,0.14944556104522405
000783,0.8996946327815504,0.06697853471618354,-0.524644801282518,0.2707775190646099,0.7058823529411765,0.020708061331496604,35,0.10289816729568567,-0.6619375953959892,0.0896757893682703,0.7967964654858646,0.13729279411347114
